,Unnamed: 0,file,label
0,0.0,engpass/41667_9471959_12526873.html,Malware as a service
1,1.0,engpass/41667_9134520_12184859.html,Malware as a service
2,2.0,engpass/52603_18185284_22031883.html,Malware as a service
3,3.0,engpass/41667_16601356_20404721.html,Malware as a service
4,4.0,engpass/41667_16935847_20748478.html,Malware as a service
5,5.0,engpass/52603_18188263_22034957.html,Malware as a service
6,6.0,engpass/41667_9470299_12525129.html,Malware as a service
7,7.0,engpass/52603_18187438_22034117.html,Malware as a service
8,8.0,engpass/41667_16558342_20359717.html,Malware as a service
9,9.0,engpass/1185776_35453316_175997352.html,Irrelevant
10,10.0,engpass/52603_18180075_22026530.html,Malware as a service
11,11.0,engpass/52603_18183396_22029942.html,Malware as a service
12,12.0,engpass/162625_31243909_89532679.html,Irrelevant
13,13.0,engpass/41667_16641686_20446398.html,Malware as a service
14,14.0,engpass/52603_18181437_22027940.html,Malware as a service
15,15.0,engpass/41667_16667998_20473476.html,Malware as a service
16,16.0,engpass/52603_18182166_22028688.html,Malware as a service
17,17.0,engpass/52603_18173722_22019908.html,Malware as a service
18,18.0,engpass/41667_16637812_20442273.html,Malware as a service
19,19.0,engpass/52603_18181294_22027793.html,Malware as a service
20,20.0,engpass/41667_16593911_20396960.html,Irrelevant
21,21.0,engpass/52603_18177348_22023700.html,Malware as a service
22,22.0,engpass/162625_25900346_49432534.html,Irrelevant
23,23.0,engpass/41667_17128416_20946537.html,Malware as a service
24,24.0,engpass/41667_17358189_21179162.html,Malware as a service
25,25.0,engpass/41667_16650485_20455419.html,Malware as a service
26,26.0,engpass/52603_18178931_22025350.html,Malware as a service
27,27.0,engpass/17202_26398162_100815306.html,Irrelevant
28,28.0,engpass/162625_25900759_49433872.html,Irrelevant
29,29.0,engpass/41667_16557290_20358571.html,Malware as a service
30,30.0,engpass/167594_5095555_8027943.html,Irrelevant
31,31.0,engpass/162625_25900500_49433021.html,Irrelevant
32,32.0,engpass/131394_262081_2967223.html,Irrelevant
33,33.0,engpass/43641_37462780_226211548.html,Irrelevant
34,34.0,engpass/150080_339059_60274156.html,Attacker as a service
35,35.0,engpass/1199644_34822100_188462413.html,Irrelevant
36,36.0,engpass/1199644_34822189_188465126.html,Irrelevant
37,37.0,engpass/17202_26398058_100814661.html,Irrelevant
38,38.0,engpass/41667_9315631_12367473.html,Malware as a service
39,39.0,engpass/41667_16580429_20382964.html,Malware as a service
40,40.0,engpass/331310_31241263_262394235.html,Irrelevant
41,41.0,engpass/43641_25065331_226212352.html,Irrelevant
42,42.0,engpass/43641_30601569_83597273.html,Irrelevant
43,43.0,engpass/43641_37462456_226210756.html,Irrelevant
44,44.0,engpass/43641_25065368_46018793.html,Irrelevant
45,45.0,engpass/162625_31243831_89532432.html,Malware as a service
46,46.0,engpass/41667_17274835_21095213.html,Malware as a service
47,47.0,engpass/162625_25900954_49434505.html,Irrelevant
48,48.0,engpass/41667_9283606_12335236.html,Malware as a service
49,49.0,engpass/103049_191250_1891024.html,Attack as a service
50,50.0,engpass/104875_196540_2072049.html,Irrelevant
51,51.0,engpass/104875_196543_2072050.html,Irrelevant
52,52.0,engpass/1054115_32242864_212696104.html,Irrelevant
53,53.0,engpass/1054115_32242878_212224475.html,Irrelevant
54,54.0,engpass/1054115_32242879_212224482.html,Irrelevant
55,55.0,engpass/1054115_32242880_212224485.html,Irrelevant
56,56.0,engpass/1054115_32242881_212224488.html,Irrelevant
57,57.0,engpass/1054115_32242883_212224493.html,Irrelevant
58,58.0,engpass/1054115_32242885_212224496.html,Irrelevant
59,59.0,engpass/1054115_32242886_212224503.html,Irrelevant
60,60.0,engpass/1054115_32242887_212224507.html,Irrelevant
61,61.0,engpass/1054115_32242888_212224510.html,Irrelevant
62,62.0,engpass/1054115_32242889_212224517.html,Irrelevant
63,63.0,engpass/1054115_32242891_212224525.html,Irrelevant
64,64.0,engpass/1054115_32242894_212224528.html,Irrelevant
65,65.0,engpass/1054115_32242896_212224533.html,Irrelevant
66,66.0,engpass/1054115_32242897_212224538.html,Irrelevant
67,67.0,engpass/1054115_32242898_212224546.html,Irrelevant
68,68.0,engpass/108332_207346_3056646.html,Malware as a service
69,69.0,engpass/108332_207347_3011123.html,Malware as a service
70,70.0,engpass/108332_207348_3011133.html,Malware as a service
71,71.0,engpass/108332_207349_3011138.html,Malware as a service
72,72.0,engpass/108332_207350_3011144.html,Malware as a service
73,73.0,engpass/108337_207373_3056791.html,Malware as a service
74,74.0,engpass/108337_207374_3011171.html,Malware as a service
75,75.0,engpass/108337_207375_3011178.html,Malware as a service
76,76.0,engpass/108337_207376_3011182.html,Malware as a service
77,77.0,engpass/108337_207377_3011189.html,Malware as a service
78,78.0,engpass/108422_207240_2425060.html,Irrelevant
79,79.0,engpass/108511_209420_3062393.html,Malware as a service
80,80.0,engpass/108516_209426_3062534.html,Malware as a service
